cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
7724,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7725,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7726,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7727,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7728,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7729,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7730,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7731,Villa de Vallecas,villadevallecas,Pastures,Pastures,,,0,False,71.0,1252.0,False,,
7732,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7733,Villa de Vallecas,villadevallecas,Pastures,Pastures,,,0,False,71.0,1252.0,False,,
7734,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7735,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7736,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7737,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7738,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7739,Villa de Vallecas,villadevallecas,Arable land (annual crops),Arable land (annual crops),,,0,False,71.0,1252.0,False,,
7740,Villa de Vallecas,villadevallecas,Green urban areas,Green urban areas,5.0,6.0,0,False,71.0,1252.0,True,cluster_0,0.4436210705183669
7741,Villa de Vallecas,villadevallecas,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),18.33203125,40.0,0,False,71.0,1252.0,True,cluster_2,0.6739706218032673
7742,Villa de Vallecas,villadevallecas,Other roads and associated land,Other roads and associated land,10.48611111111111,27.0,4,True,71.0,1252.0,True,cluster_1,0.4238261586621288
7743,Villa de Vallecas,villadevallecas,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),14.523148148148149,27.0,4,True,71.0,1252.0,True,cluster_1,0.3090531666106325
7744,Villa de Vallecas,villadevallecas,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),12.242307692307692,24.0,6,True,71.0,1252.0,True,cluster_1,0.5129461275800381
7745,Villa de Vallecas,villadevallecas,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),9.342560553633218,24.0,0,False,71.0,1252.0,True,cluster_0,0.5105878910393752
7746,Villa de Vallecas,villadevallecas,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),10.278236914600551,22.0,0,False,71.0,1252.0,True,cluster_0,0.48801436125265885
7747,Villa de Vallecas,villadevallecas,Other roads and associated land,Other roads and associated land,8.745283018867925,14.0,9,True,71.0,1252.0,True,cluster_1,1.0502046242226213
7748,Villa de Vallecas,villadevallecas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",8.802395209580839,16.0,2,False,71.0,1252.0,True,cluster_0,0.3415172268931355
7749,Villa de Vallecas,villadevallecas,Land without current use,Land without current use,6.625,10.0,0,False,71.0,1252.0,True,cluster_0,0.35216528077968406
7750,Villa de Vallecas,villadevallecas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",8.055555555555555,12.0,0,False,71.0,1252.0,True,cluster_0,0.27025624072568266
7751,Puente de Vallecas,puentedevallecas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",11.114583333333334,19.0,4,True,61.0,1252.0,True,cluster_1,0.535778086606057
7752,Vicálvaro,vicálvaro,Green urban areas,Green urban areas,,,4,True,75.0,139.0,False,,
7753,Vicálvaro,vicálvaro,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),21.89032258064516,35.0,0,False,75.0,139.0,True,cluster_2,0.6562004387715266
7754,Vicálvaro,vicálvaro,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),18.71861471861472,30.0,7,True,75.0,139.0,True,cluster_1,0.6587149701672529
