cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
3888,Latina,latina,Green urban areas,Green urban areas,22.133333333333333,40.0,6,True,66.0,221.0,True,cluster_1,3.016253913301625e-11
3889,Latina,latina,Discontinuous medium density urban fabric (S.L. : 30% - 50%),Other,14.53448275862069,28.0,4,True,66.0,221.0,True,cluster_4,0.0
3890,Latina,latina,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),15.992424242424242,30.0,4,True,66.0,221.0,True,cluster_4,0.0
3891,Latina,latina,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),15.638392857142858,33.0,3,True,66.0,221.0,True,cluster_4,0.0
3892,Latina,latina,Water,Other,24.23,64.0,4,True,66.0,221.0,True,cluster_4,1.1041834113711957e-11
3893,Latina,latina,Green urban areas,Green urban areas,30.275862068965516,47.0,0,False,66.0,221.0,True,cluster_1,4.99198904435616e-10
3894,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,9.833333333333334,12.0,0,False,69.0,13.0,True,cluster_1,1.5774048733874224e-12
3895,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",13.666666666666666,27.0,0,False,69.0,13.0,True,cluster_1,7.085603215273295e-10
3896,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",27.957264957264957,45.0,4,True,69.0,13.0,True,cluster_1,8.867457845784799e-08
3897,Moncloa-Aravaca,moncloaaravaca,Railways and associated land,Other,17.964824120603016,35.0,1,False,69.0,13.0,True,cluster_4,7.105427357601002e-15
3898,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,7.424242424242424,11.0,0,False,69.0,13.0,True,cluster_1,1.6555645743210334e-12
3899,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,17.296296296296298,30.0,6,True,69.0,13.0,True,cluster_1,1.4388490399142029e-11
3900,Moncloa-Aravaca,moncloaaravaca,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),21.705882352941178,56.0,4,True,69.0,13.0,True,cluster_4,0.0
3901,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,13.101694915254237,27.0,2,False,69.0,13.0,True,cluster_1,2.7640112421067897e-12
3902,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,13.8,17.0,2,False,69.0,13.0,True,cluster_1,2.7569058147491887e-12
3903,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,11.053846153846154,25.0,2,False,69.0,13.0,True,cluster_1,3.083755473198835e-12
3904,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,13.116438356164384,21.0,0,False,69.0,13.0,True,cluster_1,1.7550405573274475e-12
3905,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",19.924242424242426,31.0,0,False,69.0,13.0,True,cluster_1,3.1421762969330302e-09
3906,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",19.285714285714285,33.0,0,False,69.0,13.0,True,cluster_1,2.4277255761262495e-09
3907,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",8.779904306220097,20.0,2,False,69.0,13.0,True,cluster_1,6.137383934401441e-10
3908,Moncloa-Aravaca,moncloaaravaca,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",14.452674897119342,30.0,0,False,69.0,13.0,True,cluster_1,9.255813893105369e-10
3909,Moncloa-Aravaca,moncloaaravaca,Other roads and associated land,Other roads and associated land,12.775862068965518,31.0,0,False,69.0,13.0,True,cluster_2,9.279688129026908e-12
3910,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,9.75,17.0,0,False,69.0,13.0,True,cluster_1,1.6058265828178264e-12
3911,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,9.072727272727272,35.0,0,False,69.0,13.0,True,cluster_1,8.031975085032173e-11
3912,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,,,0,False,69.0,13.0,False,,
3913,Moncloa-Aravaca,moncloaaravaca,Green urban areas,Green urban areas,9.034188034188034,17.0,6,True,69.0,13.0,True,cluster_1,1.84456894203322e-11
3914,Moncloa-Aravaca,moncloaaravaca,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),9.054901960784314,19.0,8,True,69.0,13.0,True,cluster_4,0.0
3915,Moncloa-Aravaca,moncloaaravaca,Discontinuous medium density urban fabric (S.L. : 30% - 50%),Other,8.128133704735376,22.0,2,False,69.0,13.0,True,cluster_4,0.0
3916,Moncloa-Aravaca,moncloaaravaca,Other roads and associated land,Other roads and associated land,12.742049469964664,36.0,3,True,69.0,13.0,True,cluster_2,2.4556356947869062e-11
3917,Moncloa-Aravaca,moncloaaravaca,Discontinuous low density urban fabric (S.L. : 10% - 30%),Other,16.65068493150685,35.0,0,False,69.0,13.0,True,cluster_4,7.105427357601002e-15
3918,Fuencarral-El Pardo,fuencarralelpardo,Other roads and associated land,Other roads and associated land,22.055555555555557,49.0,5,True,77.0,23.0,True,cluster_2,6.555467280122684e-11
